month,revenue,profit,profit_margin_pct
2025-01,586995.86,204396.55,34.82078221130895
2025-02,578440.41,198008.3,34.231408555982455
2025-03,551322.04,193209.34,35.04473356443359
2025-04,606607.92,213542.58,35.202735236295624
2025-05,545304.1,190768.9,34.98394748911662
2025-06,599285.3,208124.33,34.72875606993864
2025-07,612140.95,216781.06,35.41358571093798
2025-08,578144.0,200666.66,34.70876805778491
2025-09,547605.36,190980.17,34.87551144495737
2025-10,559890.71,197914.7,35.34880941317994
2025-11,528096.79,184191.5,34.878360082438675
2025-12,568338.35,199148.53,35.04048776578248
