order_id,order_date,region,channel,category,product_id,quantity,unit_price,discount_pct,revenue,cost,profit,delivery_days,late_delivery,returned
101488,2025-01-01,West,Online,Accessories,P035,2,50.62,0.05,96.18,54.75,41.43,6,0,0
107754,2025-01-01,Southeast,Retail,Home,P056,4,124.78,0.1,449.21,329.27,119.94,3,0,0
104691,2025-01-01,Midwest,Online,Home,P022,6,139.77,0.05,796.69,595.05,201.64,5,0,0
108283,2025-01-01,Northeast,Retail,Home,P059,1,79.54,0.0,79.54,46.08,33.46,5,0,0
108838,2025-01-01,West,Online,Electronics,P018,2,237.36,0.2,379.78,252.41,127.37,5,0,0
109106,2025-01-01,Southeast,Retail,Accessories,P015,2,47.27,0.0,94.54,70.05,24.49,4,0,0
109284,2025-01-01,Southeast,Retail,Office,P001,1,81.51,0.15,69.28,36.68,32.6,6,0,0
101482,2025-01-01,Northeast,Retail,Electronics,P033,1,331.26,0.2,265.01,176.54,88.47,4,0,0
103674,2025-01-01,West,Retail,Electronics,P017,4,318.08,0.0,1272.32,727.43,544.89,3,0,0
110887,2025-01-01,West,Online,Home,P005,3,149.93,0.1,404.81,297.78,107.03,4,0,0
107363,2025-01-01,Southeast,Retail,Home,P056,5,82.42,0.0,412.1,244.87,167.23,5,0,0
110964,2025-01-01,Northeast,Online,Home,P018,4,151.26,0.0,605.04,314.92,290.12,4,0,0
112215,2025-01-01,Southeast,Online,Accessories,P048,3,36.18,0.1,97.69,58.57,39.12,8,0,0
112240,2025-01-01,Southeast,Online,Office,P004,2,83.68,0.05,158.99,99.11,59.88,5,0,0
102442,2025-01-01,Southeast,Retail,Office,P012,2,77.34,0.0,154.68,88.9,65.78,4,0,0
112806,2025-01-01,Midwest,Retail,Home,P007,4,91.57,0.05,347.97,201.69,146.28,6,1,0
102316,2025-01-01,Southeast,Online,Electronics,P034,3,244.13,0.1,659.15,494.05,165.1,4,0,0
102259,2025-01-01,Southeast,Online,Home,P011,2,178.2,0.0,356.4,274.4,82.0,4,0,0
101996,2025-01-01,Southeast,Retail,Electronics,P033,4,283.92,0.0,1135.68,643.3,492.38,5,0,0
101949,2025-01-01,Southeast,Retail,Office,P006,4,72.1,0.1,259.56,152.54,107.02,2,0,0
114018,2025-01-01,Midwest,Retail,Electronics,P044,1,245.85,0.0,245.85,130.05,115.8,3,0,0
111080,2025-01-01,Southeast,Online,Electronics,P049,5,289.0,0.0,1445.0,1043.54,401.46,4,0,0
105083,2025-01-01,Midwest,Retail,Electronics,P021,4,243.5,0.0,974.0,596.26,377.74,4,0,0
114062,2025-01-01,West,Online,Accessories,P013,3,35.61,0.2,85.46,51.28,34.18,7,0,1
106302,2025-01-01,Midwest,Online,Home,P028,2,137.79,0.1,248.02,160.5,87.52,6,1,1
107006,2025-01-01,Midwest,Retail,Home,P032,6,107.43,0.0,644.58,463.09,181.49,4,0,0
106741,2025-01-01,Southeast,Online,Electronics,P042,6,275.6,0.0,1653.6,887.4,766.2,4,0,0
106984,2025-01-01,Southeast,Retail,Home,P005,5,158.48,0.05,752.78,457.41,295.37,4,0,0
105462,2025-01-01,Midwest,Partner,Office,P005,5,80.06,0.0,400.3,285.79,114.51,8,1,0
101409,2025-01-01,Northeast,Online,Office,P039,6,86.18,0.15,439.52,278.39,161.13,9,0,1
106906,2025-01-01,West,Partner,Electronics,P009,2,269.24,0.1,484.63,307.22,177.41,5,0,0
105760,2025-01-01,West,Online,Electronics,P043,5,288.45,0.05,1370.14,857.07,513.07,4,0,0
100846,2025-01-02,Northeast,Partner,Office,P037,5,96.51,0.0,482.55,293.26,189.29,1,0,0
112256,2025-01-02,Midwest,Online,Home,P005,4,111.43,0.0,445.72,320.16,125.56,7,1,0
112318,2025-01-02,Northeast,Retail,Office,P039,3,81.36,0.0,244.08,189.4,54.68,6,1,0
102628,2025-01-02,West,Retail,Accessories,P059,5,37.39,0.05,177.6,126.15,51.45,3,0,0
106414,2025-01-02,Southeast,Online,Electronics,P013,3,311.18,0.0,933.54,705.84,227.7,5,0,0
106358,2025-01-02,Southeast,Online,Home,P055,2,116.48,0.0,232.96,178.31,54.65,1,0,0
101237,2025-01-02,Northeast,Partner,Electronics,P017,5,255.65,0.2,1022.6,589.65,432.95,2,0,0
112969,2025-01-02,West,Online,Office,P043,2,73.34,0.0,146.68,89.94,56.74,5,0,0
107205,2025-01-02,Southeast,Retail,Accessories,P018,5,40.45,0.15,171.91,123.22,48.69,5,0,0
113174,2025-01-02,Southeast,Online,Home,P015,1,135.99,0.1,122.39,65.3,57.09,3,0,0
113246,2025-01-02,West,Online,Home,P018,6,148.75,0.2,714.0,431.15,282.85,8,1,0
106229,2025-01-02,Southeast,Retail,Home,P011,5,53.56,0.0,267.8,148.82,118.98,4,1,0
106076,2025-01-02,West,Retail,Electronics,P023,2,373.89,0.1,673.0,357.82,315.18,4,0,0
101913,2025-01-02,Southeast,Retail,Electronics,P024,5,287.56,0.1,1294.02,859.24,434.78,5,0,0
113959,2025-01-02,Midwest,Online,Electronics,P016,4,171.98,0.0,687.92,406.82,281.1,4,0,0
113978,2025-01-02,Southeast,Online,Office,P006,2,73.5,0.0,147.0,100.75,46.25,4,0,1
101739,2025-01-02,West,Retail,Electronics,P011,6,323.55,0.05,1844.24,1116.43,727.81,3,0,1
114009,2025-01-02,Midwest,Retail,Electronics,P003,6,207.14,0.0,1242.84,966.02,276.82,2,1,0
100901,2025-01-02,Northeast,Online,Home,P042,3,131.03,0.0,393.09,298.44,94.65,6,0,0
102646,2025-01-02,West,Online,Electronics,P030,5,170.79,0.1,768.56,552.79,215.77,8,1,0
100845,2025-01-02,West,Online,Accessories,P053,6,48.76,0.0,292.56,199.3,93.26,4,0,0
103217,2025-01-02,Northeast,Online,Home,P006,2,120.23,0.15,204.39,123.89,80.5,4,0,0
111493,2025-01-02,Midwest,Retail,Electronics,P057,5,265.68,0.1,1195.56,886.85,308.71,4,0,0
107735,2025-01-02,Southeast,Partner,Accessories,P007,3,33.05,0.2,79.32,49.47,29.85,5,0,0
105170,2025-01-02,West,Online,Accessories,P022,4,41.93,0.0,167.72,127.5,40.22,7,1,0
107067,2025-01-02,Midwest,Retail,Electronics,P005,2,182.46,0.0,364.92,215.31,149.61,5,1,0
104627,2025-01-02,Southeast,Retail,Home,P017,4,111.51,0.15,379.13,248.04,131.09,1,0,0
104598,2025-01-02,Southeast,Retail,Office,P008,3,98.62,0.0,295.86,189.41,106.45,5,0,0
108630,2025-01-02,Northeast,Retail,Electronics,P047,5,343.23,0.0,1716.15,1290.02,426.13,1,0,0
100773,2025-01-02,West,Retail,Home,P039,3,117.42,0.1,317.03,173.6,143.43,6,1,0
105297,2025-01-02,West,Retail,Electronics,P048,3,278.2,0.0,834.6,577.4,257.2,1,0,0
109381,2025-01-02,Southeast,Retail,Home,P009,4,114.37,0.15,388.86,283.98,104.88,7,1,0
109546,2025-01-02,West,Retail,Electronics,P021,3,220.82,0.0,662.46,486.73,175.73,4,0,0
101294,2025-01-02,Midwest,Online,Electronics,P035,5,249.29,0.05,1184.13,710.26,473.87,8,0,0
104111,2025-01-02,Southeast,Online,Home,P057,5,140.14,0.0,700.7,400.47,300.23,5,0,0
110312,2025-01-02,West,Online,Home,P022,6,58.7,0.05,334.59,256.17,78.42,3,0,0
110356,2025-01-02,Southeast,Partner,Office,P010,4,101.46,0.1,365.26,199.46,165.8,5,0,0
